sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10532040,INFORMA 65 CM BANTAL LANTAI VELVET ROUND - MERAH MAROON,Home Textile,"<ul>
<li>Kualitas empuk</li>
<li>Permukaan bantal yang nyaman saat digunakan</li>
<li>Dilengkapi handle</li>
<li>Cocok digunakan sebagai alas duduk</li>
</ul>",MERAH MAROON,65.0,65.0,8.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10532040_1.jpg,https://www.ruparupa.com/p/informa-65-cm-bantal-lantai-velvet-round-merah-maroon.html
10532041,INFORMA 65 CM BANTAL LANTAI ROUND VELVET - ABU-ABU,Home Textile,"<ul>
<li>Desain modern</li>
<li>Permukaan halus dan lembut</li>
<li>Nyaman dan empuk saat digunakan</li>
<li>Cocok diletakkan di ruang tamu hingga ruang tidur</li>
</ul>",ABU,65.0,65.0,8.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10532041_1.jpg,https://www.ruparupa.com/p/informa-65-cm-bantal-lantai-round-velvet-abu-abu.html
10532042,INFORMA 65X65 CM BANTAL LANTAI SQUARE - KREM BEIGE,Home Textile,"<ul>
<li>Desain simpel</li>
<li>Permukaan lembut dan halus</li>
<li>Nyaman dan empuk saat digunakan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga dan kamar tidur</li>
</ul>",KREM BEIGE,65.0,65.0,8.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10532042_1.jpg,https://www.ruparupa.com/p/informa-65x65-cm-bantal-lantai-square-krem-beige.html
10532043,INFORMA 65X65 CM BANTAL LANTAI SQUARE - BIRU TUA,Home Textile,"<ul>
<li>Desain simpel</li>
<li>Permukaan lembut dan halus</li>
<li>Nyaman dan empuk saat digunakan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga dan kamar tidur</li>
</ul>",BIRU TUA,65.0,65.0,8.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10532043_1.jpg,https://www.ruparupa.com/p/informa-65x65-cm-bantal-lantai-square-biru-tua.html
10532044,INFORMA 65X65 CM BANTAL LANTAI SQUARE - MERAH MAROON,Home Textile,"<ul>
<li>Desain simpel</li>
<li>Permukaan lembut dan halus</li>
<li>Nyaman dan empuk saat digunakan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga dan kamar tidur</li>
</ul>",MERAH MAROON,59.0,59.0,59.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10532044_1.jpg,https://www.ruparupa.com/p/informa-65x65-cm-bantal-lantai-square-merah-maroon.html
10532045,INFORMA 65X65 CM BANTAL LANTAI SQUARE - ABU-ABU,Home Textile,"<ul>
<li>Desain simpel</li>
<li>Permukaan lembut dan halus</li>
<li>Nyaman dan empuk saat digunakan</li>
<li>Cocok diletakkan di ruang tamu ruang keluarga dan kamar tidur</li>
</ul>",ABU,65.0,65.0,8.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10532045_1.jpg,https://www.ruparupa.com/p/informa-65x65-cm-bantal-lantai-square-abu-abu.html
10532078,SELMA ELLA RAK DINDING 2 TINGKAT CADDY - HITAM,Selma,"<ul>
<li>Kuat dan aman</li>
<li>Kapasitas besar</li>
<li>Material berkualitas</li>
<li>Mudah dibersihkan</li>
</ul>",HITAM,4.1,50.0,32.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10532078_1.jpg,https://www.ruparupa.com/p/selma-ella-rak-dinding-2-tingkat-caddy-hitam.html
10532079,SELMA ESSA CADDY RAK DINDING 2 TINGKAT - HITAM,Selma,"<ul>
<li>Rak penyimpanan multifungsi</li>
<li>Rangka kuat kokoh dan awet</li>
<li>Kapasitas besar</li>
<li>Mudah dibersihkan</li>
<li>Dapat digantung di belakang pintu lemari atau sebagainya</li>
</ul>",HITAM,5.5,63.0,32.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10532079_1.jpg,https://www.ruparupa.com/p/selma-essa-caddy-rak-dinding-2-tingkat-hitam.html
10532080,SELMA ESSA CADDY RAK DINDING 3 TINGKAT - HITAM,Selma,"<ul>
<li>Rak penyimpanan multifungsi</li>
<li>Rangka kuat kokoh dan awet</li>
<li>Kapasitas besar</li>
<li>Mudah dibersihkan</li>
<li>Dapat digantung di belakang pintu lemari atau sebagainya</li>
</ul>",HITAM,5.5,80.0,32.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10532080_1.jpg,https://www.ruparupa.com/p/selma-essa-caddy-rak-dinding-3-tingkat-hitam.html
10532082,SELMA ALANA LACI PENYIMPANAN 5 TINGKAT - PUTIH,Selma,"<ul>
<li>Dilengkapi 5 tingkat laci penyimpanan</li>
<li>Memiliki kapasitas laci yang cukup besar</li>
<li>Dilengkapi pintu tarik dengan handle ergonomis</li>
<li>Dilengkapi kunci</li>
<li>Rangka kokoh stabil danawet</li>
<li>Ideal untuk menyimpan pakaian mainan buku dan barang lainnya</li>
<li>Material : MDF</li>
</ul>",PUTIH,40.0,102.0,16.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10532082_1.jpg,https://www.ruparupa.com/p/selma-alana-laci-penyimpanan-5-tingkat-putih.html
